title,author,category,student_cnt,rating,review_cnt,price_origin,price_curr,est_revenue,thumbnail,href
바로 쓰는 제미나이 활용법 - 제미나이 강사 권서림,제미나이 강사 권서림,기타,1100,4.9,119,0,0,0,https://cdn.inflearn.com/public/files/courses/339693/cover/ai/1/aaf41678-f919-40db-b468-4308bc0055f3.png?w=420,N/A
Blender 3D 초보자를 위한 튜토리얼 귀여운 체리 케이크 모델링!,masshiro,기타,300,5.0,14,0,0,0,https://cdn.inflearn.com/public/files/courses/338920/cover/01k4vtbz2mfyty151g62yhjnt1?w=420,N/A
3. [노베이스/입문] 기초 C++ 스파르타 클래스,YAL,기타,500,4.8,12,0,0,0,https://cdn.inflearn.com/public/files/courses/338867/cover/01k4c2mm7h1tjnq1vejvjhzpzs?w=420,N/A
[무료] Notion MCP: 입문에서 활용까지,닭강정,기타,800,4.4,26,0,0,0,https://cdn.inflearn.com/public/files/courses/338906/cover/01k4nkjw13vgrmrs0esxnc60w9?w=420,N/A
[Rookiss 라이브 세미나] AI 시대를 살아가는 게임 업계의 인재상 및 공부 전략,Rookiss,기타,1000,5.0,62,0,0,0,https://cdn.inflearn.com/public/files/courses/339044/cover/01k6yn85jmd62z9rv08yd67qfr?w=420,N/A
코딩 테스트 합격자 되기 - 파이썬 편,dremdeveloper,기타,1400,5.0,13,0,0,0,https://cdn.inflearn.com/public/files/courses/338357/cover/01k2hjdwsgqt7cxt1yr7sntc69?w=420,N/A
"Part0: 문제 풀며 배우는 왕초보 Swift6 (무료, 2025, XCode 26 완벽 대응)",밤낮 코딩,기타,400,4.9,52,0,0,0,https://cdn.inflearn.com/public/files/courses/338627/cover/01k31zj0znja3bgyv7f5514t1x?w=420,N/A
김영한의 실전 데이터베이스 입문 - 모든 IT인을 위한 SQL 첫걸음(SQL부터 차근차근),김영한,기타,9500,5.0,566,0,0,0,https://cdn.inflearn.com/public/files/courses/338210/cover/01k1fmnftndew0k8243j49h78z?w=420,N/A
JetBrains와 Nebius가 함께하는 AI 기반 프로그래밍 강의 시리즈,JetBrains,기타,1500,4.8,26,0,0,0,https://cdn.inflearn.com/public/files/courses/338946/cover/01k4w8fgmy1cdhegqmgd68kxg6?w=420,N/A
AI 에이전트 개발 오리엔테이션,승귤,기타,1500,4.9,152,0,0,0,https://cdn.inflearn.com/public/files/courses/338304/cover/01k19f9stvwng5jhym01bf21k6?w=420,N/A
[바이브코딩] Google AntiGravity 마스터 클래스 - Basic,AI 지식 전달자,기타,1500,4.7,157,0,0,0,https://cdn.inflearn.com/public/files/courses/339694/cover/01keh7jfnxbx3jeazjsxe75xdj?w=420,N/A
[LottieFiles 공식] After Effects로 만드는 Lottie 애니메이션 (수료증 발급),LottieFiles,기타,500,4.9,9,0,0,0,https://cdn.inflearn.com/public/files/courses/338082/cover/01k0ra1r4y627eeazr0e855txg?w=420,N/A
[바이브 코딩 입문 강의] 혼자 공부하는 바이브 코딩 with 클로드 코드,한빛미디어,기타,3100,4.9,114,0,0,0,https://cdn.inflearn.com/public/files/courses/340120/cover/01kd4ve7rz772fdj3ren8a3e28?w=420,N/A
HR 실무 시나리오로 배우는 M365 코파일럿,한국마이크로소프트,기타,200,4.9,17,0,0,0,https://cdn.inflearn.com/public/files/courses/338493/cover/01k46zpnhatc59g6x43kbt8wa8?w=420,N/A
[Rookiss 라이브 세미나] 생성형 AI 때문에 바뀌는 컨텐츠 개발 파이프라인,Rookiss,기타,800,5.0,38,0,0,0,https://cdn.inflearn.com/public/files/courses/339175/cover/01k6ynr0nxw5rhw0x42xgvne1s?w=420,N/A
IntelliJ IDEA Conf 2025,JetBrains,기타,1200,5.0,14,0,0,0,https://cdn.inflearn.com/public/files/courses/338359/cover/01k1jvx5fmtg6j3qseqq7fg7s2?w=420,N/A
Blender 3D 초보자를 위한 캐릭터 모델링 ~먹먹이,masshiro,기타,200,4.6,7,0,0,0,https://cdn.inflearn.com/public/files/courses/339373/cover/01k8mybg6wj3zg5292dvkgxrvp?w=420,N/A
노베이스를 위한 ADsP 생존 가이드,정미나,기타,200,4.9,11,0,0,0,https://cdn.inflearn.com/public/files/courses/339572/cover/01k9rj9ha6re9vfa9p70p14haj?w=420,N/A
바로 쓰는 노트북LM 활용법 - 제미나이 강사 권서림,제미나이 강사 권서림,기타,500,4.4,32,0,0,0,https://cdn.inflearn.com/public/files/courses/340194/cover/ai/2/74354186-63d4-4fb0-83d5-244233b1f469.png?w=420,N/A
"Midjourney 실전활용 입문편 – 숏폼 광고, 이렇게 시작합니다",Dong Ah K,기타,500,5.0,22,0,0,0,https://cdn.inflearn.com/public/files/courses/338376/cover/01k1pz42dhvyjpaez0h9yrs4w1?w=420,N/A
클로드 코드 완벽 마스터: AI 개발 워크플로우 기초부터 실전까지,짐코딩,기타,5900,4.9,611,198000,198000,1168200000,N/A,N/A
누구보다 빠르게 시작하는 클로드 코드 | 전자책,Neo,기타,100,4.6,13,16500,9900,990000,https://cdn.inflearn.com/public/files/courses/341479/cover/01km20wzp6vjt3ktrbypcga854?w=420,N/A
컴맹도 따라하는 주식 바이브코딩 - AI로 만드는 주식 자동매매 시스템,얄팍한 코딩사전,기타,0,5.0,20,154000,77000,0,https://cdn.inflearn.com/public/files/courses/341084/cover/01kmyx7by5fkf11k90syh84z7h?w=420,N/A
Jenkins를 활용한 CI/CD 입문 (with. AWS),JSCODE 시니,기타,100,5.0,2,77000,53900,5390000,https://cdn.inflearn.com/public/files/courses/341745/cover/01knp3d2krw9y7qp84kg18naf1?w=420,N/A
